name,locale,all_characters,character_count,source_file,sub_code
Slovak (QWERTY),sk-SK," !""#$%&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\\m{^}\m{¨}\m{°}\m{´}\m{¸}\m{ˇ}\m{˘}\m{˙}\m{˛}\m{˝}]_`abcdefghijklmnopqrstuvwxyz{|}~¤§×ßáäéíô÷úýčĐđľŁłňšťž€",127,KBDSL1.ldml,KBDSL1
Georgian (MES),ka-GE," !""#$%&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\]^_`|~§«°»აბგდევზთიკლმნოპჟრსტუფქღყშჩცძწჭხჯჰჱჲჳჴჵჶჷჹჺ჻ჼ–—€№",119,kbdgeome.ldml,kbdgeome
United States-International,en-US," !#$%&()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\\m{""}\m{'}\m{^}\m{`}\m{~}]_abcdefghijklmnopqrstuvwxyz{|}¡¢£¤¥¦§¨©«¬®°²³´µ¶¹»¼½¾¿ÁÄÅÆÇÉÍÐÑÓÖ×ØÚÜÞßáäåæçéíðñóö÷øúüþ‘’€",155,KBDUSX.ldml,KBDUSX
Swiss French,fr-CH," !""#$%&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\\m{^}\m{`}\m{~}\m{¨}\m{´}]_abcdefghijklmnopqrstuvwxyz{|}¢£¦§¬°àäçèéöü€",111,KBDSF.ldml,KBDSF
Armenian Eastern (Legacy),hy-AM, '()-.1349:«»ԱԲԳԴԵԶԷԸԹԺԻԼԽԾԿՀՁՂՃՄՅՆՇՈՉՊՋՌՍՎՏՐՑՒՓՔՕՖ՛՜՝՞աբգդեզէըթժիլխծկհձղճմյնշոչպջռսվտրցւփքօֆև,95,kbdarme.ldml,kbdarme
Turkish Q,tr-TR," !""#$%&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\\m{^}\m{`}\m{~}\m{¨}\m{´}]_abcdefghijklmnopqrstuvwxyz{|}£½ÆÇÖÜßæçéöüĞğİıŞş€₺",117,KBDTUQ.ldml,KBDTUQ
Bulgarian,bg-BG," !""$%()+-./0123456789:;=?§ЍАБВГДЕЖЗИЙКЛМНОПРСТУФХЦЧШЩЪЫЬЭЮЯабвгдежзийклмнопрстуфхцчшщъыьэюяѝ–“„€№",98,KBDBULG.ldml,KBDBULG
Colemak,en-US," !""#$%&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\\m{*}\m{^}\m{`}\m{~}\m{¨}\m{¯}\m{´}\m{¸}\m{ˇ}\m{˘}\m{˙}\m{˚}\m{˛}\m{˝}]^_`abcdefghijklmnopqrstuvwxyz{|}~ ¡¢£¥ª«²³¹º»¿ÁÃÄÅÆÇÉÍÐÑÓÕÖ×ØÚÜÞßáãäåæçéíðñóõö÷øúüþĐđĦħŁłŒœẞ–—‘’“”‹›€",177,KBDCMK.ldml,KBDCMK
Bangla – INSCRIPT (Legacy),bn-IN, !()-.@ঁংঃঅআইঈউঊঋএঐওঔকক\u{9CD}ষখগঘঙচছজজ\u{9CD}ঞঝঞটঠডঢণতত\u{9CD}রথদধনপফবভমযরর\u{9CD}লশশ\u{9CD}রষসহ়ািীুূৃেৈোৌ্য়০১২৩৪৫৬৭৮৯‌‍₹,85,KBDINBE1.ldml,KBDINBE1
Urdu,ur-PK," !""#$'()+-/0123456789:<=>@[\]^_`{|}~،؛؟ءآأؤإئابتثجحخدذرزسشصضطظعغـفقلمنويًٌٍَُِّْ٪٭ٹپچڈڑژکگںھہۂۃیےۓ۔ۖۙۢ‌‍‎‏ﻲ",107,KBDURDU.ldml,KBDURDU
Polish (214),pl-PL," !""#$%&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ\\m{^}\m{¨}\m{°}\m{´}\m{·}\m{¸}\m{ˇ}\m{˘}\m{˛}\m{˝}_`abcdefghijklmnopqrstuvwxyz{}~¤¦§×ßó÷ąćĐđęŁłńśźż€",120,KBDPL.ldml,KBDPL
Russian,ru-RU," !""%()*+-./0123456789:;=?\_ЁАБВГДЕЖЗИЙКЛМНОПРСТУФХЦЧШЩЪЫЬЭЮЯабвгдежзийклмнопрстуфхцчшщъыьэюяё₽№",96,KBDRU.ldml,KBDRU
Kazakh,kk-KZ," !""()-./:;?\|ІАБВГДЕЖЗИЙКЛМНОПРСТУФХЦЧШЩЪЫЬЭЮЯабвгдежзийклмнопрстуфхцчшщъыьэюяіҒғҚқҢңҮүҰұҺһӘәӨө№",97,KBDKAZ.ldml,KBDKAZ
Uyghur (Legacy),ug-CN," !""#$%&'()*+-.0123456789:<=>@[\]^_`|~«»،؛؟ئابتجخدرزسشغقكللامنوىيپچژڧڭگھۆۇۈۋېە",76,KBDUGHR.ldml,KBDUGHR
Thai Kedmanee (non-ShiftLock),th-TH," ""%()+-./?_กขฃคฅฆงจฉชซฌญฎฏฐฑฒณดตถทธนบปผฝพฟภมยรฤลฦวศษสหฬอฮฯะัาำิีึืฺุู฿เแโใไๅๆ็่้๊๋์ํ๐๑๒๓๔๕๖๗๘๙",95,KBDTH2.ldml,KBDTH2
United Kingdom,en-GB," !""#$%&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\]^_`abcdefghijklmnopqrstuvwxyz{|}~£¦¬ÁÉÍÓÚáéíóú€",109,KBDUK.ldml,KBDUK
Thai Pattachote (non-ShiftLock),th-TH," ""%()+-./=?_กขคฆงจฉชซฌญฎฏฐฑฒณดตถทธนบปผฝพฟภมยรฤลฦวศษสหฬอฮฯะัาำิีึืุู฿เแโใไๆ็่้๊๋์ํ๐๑๒๓๔๕๖๗๘๙",93,KBDTH3.ldml,KBDTH3
Italian,it-IT," !""#$%&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\]^_abcdefghijklmnopqrstuvwxyz{|}£§°àçèéìòù€",104,KBDIT.ldml,KBDIT
Ukrainian (Enhanced),uk-UA," !""%'()*+-./0123456789:;=?\_ЄІЇАБВГДЕЖЗИЙКЛМНОПРСТУФХЦЧШЩЬЮЯабвгдежзийклмнопрстуфхцчшщьюяєіїҐґ₴№",97,KBDUR1.ldml,KBDUR1
Osmanya,so-Osma," !""#$%&'()*+-./:;<=>?@[\]^_`{|}~𐒀𐒁𐒂𐒃𐒄𐒅𐒆𐒇𐒈𐒉𐒊𐒋𐒌𐒍𐒎𐒏𐒐𐒑𐒒𐒓𐒔𐒕𐒖𐒗𐒘𐒙𐒚𐒛𐒜𐒝𐒠𐒡𐒢𐒣𐒤𐒥𐒦𐒧𐒨𐒩",73,KBDOSM.ldml,KBDOSM
Hindi Traditional,hi-IN," !""#$%&'()*+-./0123456789:;<=>?@[\\u{94D}र]^_`{|}~ँंःअआइईउऊऋऍएऐऑओऔकक\u{94D}षखगघङचछजज\u{94D}ञझञटठडढणतत\u{94D}रथदधनपफबभमयरर\u{94D}ऱलळवशश\u{94D}रषसह़ािीुूृॅेैॉोौ्ॐय़।०१२३४५६७८९‌‍₹",130,KBDINHIN.ldml,KBDINHIN
Uyghur,ug-CN," !""#$%&'()*+-.0123456789:<=>@[\]^_`|~«»،؛؟ئابتجخدرزسشغفقكللامنوىيپچژڭگھۆۇۈۋېە",76,KBDUGHR1.ldml,KBDUGHR1
