name,locale,all_characters,character_count,source_file,sub_code
Slovak,sk-SK," !""#$%&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\\m{^}\m{¨}\m{°}\m{´}\m{¸}\m{ˇ}\m{˘}\m{˙}\m{˛}\m{˝}]_`abcdefghijklmnopqrstuvwxyz{|}~¤§×ßáäéíô÷úýčĐđľŁłňšťž€",129,KBDSL.ldml,KBDSL
Latvian (Standard),lv-LV," !#$%&()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\\m{""}\m{'}\m{¨}\m{´}]^_`abcdefghijklmnopqrstuvwxyz{|}~ §«­°±»×ĀāČčĒēĢģĪīĶķĻļŅņŌōŖŗŠšŪūŽž–—’€",135,KBDLVST.ldml,KBDLVST
Macedonian,mk-MK, !%&()*+-./0123456789:;=?@[]_`{}~§ЁЂЃЅЈЉЊЋЌЏАБВГДЕЖЗИКЛМНОПРСТУФХЦЧШабвгдежзиклмнопрстуфхцчшёђѓѕјљњћќџ‘’“„€,108,KBDMAC.ldml,KBDMAC
Vietnamese,vi-VN," !""#$%&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\]^_`abcdefghijklmnopqrstuvwxyz{|}~ÂÊÔâêôĂăĐđƠơƯự̀́̃̉₫",115,KBDVNTC.ldml,KBDVNTC
Punjabi,pa-IN, ()-.0123456789\u{A4D}ਯ\u{A4D}ਰ\u{A4D}ਵ\u{A4D}ਹ।॥ਂਅਆਇਈਉਊਏਐਓਔਕਖਗਘਙਚਛਜਝਞਟਠਡਢਣਤਥਦਧਨਪਫਬਭਮਯਰਲਲ਼ਵਸ਼ਸਹ਼ਾਿੀੁੂੇੈੋੌ੍ਖ਼ਗ਼ਜ਼ੜਫ਼੦੧੨੩੪੫੬੭੮੯ੰੱੲੳੴ‌‍₹,100,KBDINPUN.ldml,KBDINPUN
Arabic (102) AZERTY,ar-SA," ""&'()+-./0123456789:<=>[\\u{651}ً\u{651}ٌ\u{651}ٍ\u{651}َ\u{651}ُ\u{651}ِ]_{|}~¤°×àçèé÷،؛؟ءآأؤإئابةتثجحخدذرزسشصضطظعغـفقكللآلألإلامنهوىيًٌٍَُِّْ‌‍‎‏‘’",105,KBDA3.ldml,KBDA3
United Kingdom Extended,cy-GB," !""#$%&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\\m{^}\m{`}\m{~}\m{¨}\m{´}]^_`abcdefghijklmnopqrstuvwxyz{|}~£¦¬ÁÇÉÍÓÚÝáçéíóúýẂẃ€",120,KBDUKX.ldml,KBDUKX
Divehi Typewriter,dv-MV," !""#$%&()*+-./0123456789:;<=>@[\]^_`{|}~×÷،؛؟ހށނރބޅކއވމފދތލގޏސޑޒޓޔޕޖޗޘޙޚޛޜޝޞޟޠޡޢޣޤޥަާިީުޫެޭޮޯް‌‍‎‏’“ﷲ",102,KBDDIV2.ldml,KBDDIV2
"French (Standard, AZERTY)",fr-FR," !""#$%&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\\m{}\m{-}\m{.}\m{/}\m{^}\m{`}\m{~}\m{¤}\m{¨}\m{¯}\m{°}\m{´}\m{µ}\m{¸}\m{ſ}\m{ˇ}\m{ˍ}\m{˘}\m{˙}\m{˚}\m{˛}\m{˝}\m{˵}]_abcdefghijklmnopqrstuvwxyz{|} ¡£§©«®°±·»¼½¿ÀÆÇÈÉÊ×Ùßàæçèéê÷ùŒœƷʒθϴẞ‑–—‘’“”†‡… ‰‹›€™−√∞≃≠⩽⩾",176,KBDFRNA.ldml,KBDFRNA
Turkmen,tk-TM," !""#$%&'()*+-./0123456789:;<=>?@ABDEFGHIJKLMNOPRSTUWYZ\_abdefghijklmnoprstuwyz|ÄÇÖÜÝäçöüýŇňŞşŽž№",97,KBDTURME.ldml,KBDTURME
Assamese - INSCRIPT,as-IN, !()-.@\u{9CD}ৰ।॥ঁংঃঅআইঈউঊঋএঐওঔকক\u{9CD}ষখগঘঙচছজজ\u{9CD}ঞঝঞটঠডঢণতত\u{9CD}ৰথদধনপফবভমযলশশ\u{9CD}ৰষসহ়ািীুূৃেৈোৌ্য়০১২৩৪৫৬৭৮৯ৰৰ\u{9CD}ৱ‌‍₹,89,KBDINASA.ldml,KBDINASA
Syriac Phonetic,syr-SY, !()+-.0123456789:=[]«»̣̤̥̭̮̰̱̃̄̇̈̊،؛؟ءـًٌٍَُِّْٰٕٓٔ܀܁܂܃܄܅܆܇܈܉܊܋܌܍܏ܐܑܒܓܔܕܖܗܘܙܚܛܜܝܞܟܠܡܢܣܤܥܦܧܨܩܪܫܬܱܴܷܸܹܻܼܾ݂݄݆݈ܰܲܳܵܶܺܽܿ݀݁݃݅݇݉݊‌‍‎‏┌┐♰♱,131,KBDSYR2.ldml,KBDSYR2
Lithuanian Standard,lt-LT," !""#$%&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\]^_`abcdefghijklmnopqrstuvwxyz{|}~ §´ĄąČčĖėĘęĮįŠšŪūŲųŽž–“„€",120,KBDLT2.ldml,KBDLT2
Bosnian (Cyrillic),bs-Cyrl-BA," !""#$%&()*+-./0123456789:;<=>?@[\\m{'}]^_`{|}~§°ЂЅЈЉЊЋЏАБВГДЕЖЗИКЛМНОПРСТУФХЦЧШабвгдежзиклмнопрстуфхцчшђѕјљњћџ€",108,KBDBHC.ldml,KBDBHC
Estonian,et-EE," !""#$%&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\\m{^}\m{`}\m{~}\m{´}\m{ˇ}]^_abcdefghijklmnopqrstuvwxyz{|}£¤§½ÄÕÖÜäõöüŠšŽž€",115,KBDEST.ldml,KBDEST
Gujarati,gu-IN, ()-.0123456789\u{ACD}ર।॥ઁંઃઅઆઇઈઉઊઋઍએઐઑઓઔકક\u{ACD}ષખગઘઙચછજજ\u{ACD}ઞઝઞટઠડઢણતત\u{ACD}રથદધનપફબભમયરર\u{ACD}લળવશશ\u{ACD}રષસહ઼ઽાિીુૂૃૄૅેૈૉોૌ્ૐૠ૦૧૨૩૪૫૬૭૮૯‌‍₹,105,KBDINGUJ.ldml,KBDINGUJ
Wolof,wo-SN," !""#&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\\m{^}\m{`}\m{~}\m{¨}]^_abcdefghijklmnopqrstuvwxyz{|}¤ÀÃÉÑÓàãéñóùŊŋ€",110,KBDWOL.ldml,KBDWOL
Arabic (102),ar-SA," !""#$%&()*+-./0123456789:<=>@[\\u{651}ً\u{651}ٌ\u{651}ٍ\u{651}َ\u{651}ُ\u{651}ِ]^_{|}~¤×÷،؛؟ءآأؤإئابةتثجحخدذرزسشصضطظعغـفقكللآلألإلامنهوىيًٌٍَُِّْ‌‍‎‏‘’",106,KBDA2.ldml,KBDA2
Ogham,sga-Ogam, - ᚁᚂᚃᚄᚅᚆᚇᚈᚉᚊᚋᚌᚍᚎᚏᚐᚑᚒᚓᚔᚕᚖᚗᚘᚙᚚ᚛᚜,31,KBDOGHAM.ldml,KBDOGHAM
Uzbek Cyrillic,uz-Cyrl-UZ," !""%()*-./0123456789:;?\ЁЎАБВГДЕЖЗИЙКЛМНОПРСТУФХЦЧШЪЬЭЮЯабвгдежзийклмнопрстуфхцчшъьэюяёўҒғҚқҲҳ№",96,KBDUZB.ldml,KBDUZB
Tifinagh (Extended),tzm-Tfng-MA," !""#$%&'()*+-./0123456789:;<=>?@[\]^_{|}~£¤§°²µ‌‍—€ⴰⴱⴲⴳⴳⵯⴴⴵⴶⴷⴸⴹⴺⴻⴼⴽⴽⵯⴾⴿⵀⵁⵂⵃⵄⵅⵆⵇⵈⵉⵊⵋⵌⵍⵎⵏⵐⵑⵒⵓⵔⵕⵖⵗⵘⵙⵚⵛⵜⵝⵞⵟⵠⵡⵢⵣⵤⵥⵯ",109,KBDTIFI2.ldml,KBDTIFI2
German Extended (E2),de-DE," !""#$%&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\\m{^}\m{`}\m{¨}\m{¯}\m{´}\m{¸}\m{ʼ}\m{ˀ}\m{ˇ}\m{ˌ}\m{ˍ}\m{ˏ}\m{˗}\m{˘}\m{˙}\m{˚}\m{˛}\m{˜}\m{˝}\m{˟}]_abcdefghijklmnopqrstuvwxyz{|}~ ¡§«­°µ·»¿ÄÖÜßäöüẞ‑–—’ ′″‹›€−☺",143,KBDGRE2.ldml,KBDGRE2
Igbo,ig-NG," !""#$%&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLMM\u{300}M\u{304}NN\u{304}OPQRSTUVWXYZ[\\m{^}\m{`}\m{~}]_abcdefghijklmm\u{300}m\u{304}nn\u{304}opqrstuvwxyz{|}¦´¶ṄṅỊỊ\u{300}Ị\u{301}Ị\u{304}ịị\u{300}ị\u{301}ị\u{304}ỌỌ\u{300}Ọ\u{301}Ọ\u{304}ọọ\u{300}ọ\u{301}ọ\u{304}ỤỤ\u{300}Ụ\u{301}Ụ\u{304}ụụ\u{300}ụ\u{301}ụ\u{304}‘’€",133,KBDIBO.ldml,KBDIBO
Japanese,ja-JP," !""#$%&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\]^_`abcdefghijklmnopqrstuvwxyz{|}~｡｢｣､･ｦｧｨｩｪｫｬｭｮｯｰｱｲｳｴｵｶｷｸｹｺｻｼｽｾｿﾀﾁﾂﾃﾄﾅﾆﾇﾈﾉﾊﾋﾌﾍﾎﾏﾐﾑﾒﾓﾔﾕﾖﾗﾘﾙﾚﾛﾜﾝﾞﾟ",158,KBDJPN.ldml,KBDJPN
Korean,ko-KR," !""#$%&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\]^_`abcdefghijklmnopqrstuvwxyz{|}~",95,KBDKOR.ldml,KBDKOR
Irish,en-IE," !""#$%&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\\m{`}\m{´}]^_`abcdefghijklmnopqrstuvwxyz{|}~£¦¬ÁÉÍÓÚáéíóú€",111,KBDIR.ldml,KBDIR
Cherokee Phonetic,chr-Cher-US," !""#$%&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\\m{C}\m{D}\m{G}\m{H}\m{J}\m{K}\m{L}\m{M}\m{N}\m{Q}\m{S}\m{T}\m{W}\m{X}\m{Y}\m{c}\m{d}\m{g}\m{h}\m{j}\m{k}\m{l}\m{m}\m{n}\m{q}\m{s}\m{t}\m{w}\m{x}\m{y}]^_`abcdefghijklmnopqrstuvwxyz{|}~ᎠᎡᎢᎣᎤᎥ",131,KBDCHERP.ldml,KBDCHERP
German (IBM),de-DE," !""#$%&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\\m{^}\m{`}\m{´}]_abcdefghijklmnopqrstuvwxyz{|}~§°²³µÄÖÜßäöüẞ€",110,KBDGR1.ldml,KBDGR1
Tamil,ta-IN, -.0123456789ஃஅஆஇஈஉஊஎஏஐஒஓஔகக\u{BCD}ஷஙசஜஞடணதத\u{BCD}ரநனபமயரறலளழவஶஷஷ\u{BCD}ரஸஸ\u{BCD}ர\u{BC0}ஹாிீுூெேைொோௌ்ௐ௦௧௨௩௪௫௬௭௮௯௰௱௲௳௴௵௶௷௸௹௺‌‍₹,91,KBDINTAM.ldml,KBDINTAM
Armenian Western (Legacy),hy-AM, '()-.1349:«»ԱԲԳԴԵԶԷԸԹԺԻԼԽԾԿՀՁՂՃՄՅՆՇՈՉՊՋՌՍՎՏՐՑՒՓՔՕՖ՛՜՝՞աբգդեզէըթժիլխծկհձղճմյնշոչպջռսվտրցւփքօֆև,95,kbdarmw.ldml,kbdarmw
Sami Extended Norway,se-NO," !""#$%&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\\m{^}\m{`}\m{~}\m{¨}\m{´}\m{ˇ}]_abcdefghijklmnopqrstuvwxyz{|}£¤§µÁÂÄÅÆÏÕÖØáâäåæïõöøČčĐđŊŋŠšŦŧŽžƷǤǥǦǧǨǩǮǯʒ€",143,KBDSMSNO.ldml,KBDSMSNO
Sesotho sa Leboa,nso-ZA," !#$%&()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\\m{""}\m{'}\m{^}\m{`}\m{~}]_abcdefghijklmnopqrstuvwxyz{|}¡¢£¤¥¦§¨©«¬®°²³´µ¶¹»¼½¾¿ÁÄÅÆÇÉÍÐÑÓÖ×ØÚÜÞßáäåæçéíðñóö÷øúüþŠš‘’€",157,KBDNSO.ldml,KBDNSO
Telugu,te-IN, ()-.0123456789\u{C4D}రఁంఃఅఆఇఈఉఊఋఌఎఏఐఒఓఔకక\u{C4D}షఖగఘఙచఛజజ\u{C4D}ఞఝఞటఠడఢణతత\u{C4D}రథదధనపఫబభమయరఱలళవశశ\u{C4D}రషసహాిీుూృౄెేైొోౌ్ౕౖౘౙౠౡ౦౧౨౩౪౫౬౭౮౯‌‍₹,106,KBDINTEL.ldml,KBDINTEL
Tibetan (PRC) - Updated,bo-CN, -\m{M}\m{m}\u{F71}ི\u{F71}ུ\u{F71}ྀ\u{FB2}ཱ\u{F80}\u{FB3}ཱ\u{F80}ༀ༁༂༃༆༇༉༊་༌།༏༐༒༓༕༖༗༘༙༚༛༜༝༞༟༠༡༢༣༤༥༦༧༨༩༪༫༬༭༮༯༰༱༲༳༴༶༸༺༻༼༽༾༿ཀཁགགྷངཅཆཇཉཊཋཌཎཏཐདདྷནཔཕབབྷམཙཚཛཛྷཝཞཟའཡརལཤཥསཧཨཀྵཪཱིུྲྀླྀེོྂ྆྇ྈྉྊྋྚྛྜྞྵྐྵྻྼ྾྿࿀࿁࿂࿃࿄࿅࿆࿇࿈࿉࿊࿋࿌࿏,143,KBDTIPRD.ldml,KBDTIPRD
Sorbian Standard (Legacy),hsb-DE," !""#$%&()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\\m{^}\m{`}\m{°}\m{´}]_abcdefghijklmnopqrstuvwxyz{|}~§«µ»ÄÖÜßäöüŁł‘‚“„€",114,KBDSORST.ldml,KBDSORST
Tatar,tt-RU," !""#$%'()*+-./0123456789:;<=>?@[\]_{}ЁАБВГДЕЖЗИЙКЛМНОПРСТУФХЦЧШЩЪЫЬЭЮЯабвгдежзийклмнопрстуфхцчшщъыьэюяёҒғҖҗҠҡҢңҮүҺһӘәӨө₽№",122,KBDTT102.ldml,KBDTT102
Tajik,tg-Cyrl-TJ," !""%()*./0123456789:;?\ЁАБВГДЕЖЗИЙКЛМНОПРСТУФХЧШЪЭЮЯабвгдежзийклмнопрстуфхчшъэюяёҒғҚқҲҳҶҷӢӣӮӯ№",95,KBDTAJIK.ldml,KBDTAJIK
Azerbaijani (Standard),az-Latn-AZ," !""#%()*+-.0123456789:;=?@ABCDEFGHIJKLMNOPQRSTUVXYZ_abcdefghijklmnopqrstuvxyz~ÇÖÜçöüĞğİıŞşƏə₼№",95,KBDAZST.ldml,KBDAZST
Armenian Typewriter,hy-AM," !""#$%&'()*+-./0123456789:;<=>?@[\]^_`{|}~«»ԱԲԳԴԵԶԷԸԹԺԻԼԽԾԿՀՁՂՃՄՅՆՇՈՉՊՋՌՍՎՏՐՑՒՓՔՕՖ՚՛՜՝՞աբգդեզէըթժիլխծկհձղճմյնշոչպջռսվտրցւփքօֆև։֊֏—․",132,kbdarmty.ldml,kbdarmty
Norwegian,nb-NO," !""#$%&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\\m{^}\m{`}\m{~}\m{¨}\m{´}]_abcdefghijklmnopqrstuvwxyz{|}£¤§µÅÆØåæø€",108,KBDNO.ldml,KBDNO
Latvian,lv-LV," !""#$%&()-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\\m{~}\m{¨}\m{°}\m{´}]^_abcdefghijklmnopqrstuvwxyz{|}«­±»Õ×õĀāČčĒēĢģĪīĶķĻļŅņŖŗŠšŪūŽž–—’€",129,KBDLV.ldml,KBDLV
Swedish,sv-SE," !""#$%&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\\m{^}\m{`}\m{~}\m{¨}\m{´}]_abcdefghijklmnopqrstuvwxyz{|}£¤§µ½ÄÅÖäåö€",109,KBDSW.ldml,KBDSW
Bangla,bn-IN, ()-.0123456789\u{9CD}র{ঁংঃঅঅ\u{9CD}য\u{9BE}আইঈউঊঋঌএঐওঔকক\u{9CD}রখগঘঙচছজজ\u{9CD}রঝঞটঠডঢণতত\u{9CD}ষথদধনপফবভমযরর\u{9CD}লশশ\u{9CD}রষসহ়ািীুূৃেৈোৌ্ৎৗড়ঢ়য়ৠৡৢৣ০১২৩৪৫৬৭৮৯ৰৱ৴৵৶৷৸৹৺‌‍₹,114,KBDINBEN.ldml,KBDINBEN
Danish,da-DK," !""#$%&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\\m{^}\m{`}\m{~}\m{¨}\m{´}]_abcdefghijklmnopqrstuvwxyz{|}£¤§µ½ÅÆØåæø€",109,KBDDA.ldml,KBDDA
Odia,or-IN, ()-.0123456789\u{B4D}ର।॥ଁଂଃଅଆଇଈଉଊଋଌଏଐଓଔକକ\u{B4D}ଷଖଗଘଙଚଛଜଜ\u{B4D}ଞଝଞଟଠଡଢଣତତ\u{B4D}ରଥଦଧନପଫବଭମଯଯ\u{B3C}ରର\u{B4D}ଲଳଵଶଶ\u{B4D}ରଷସହ଼ଽାିୀୁୂୃୄେୈୋୌ୍ଡ଼ଢ଼ୟୠୡୢୣ୦୧୨୩୪୫୬୭୮୯୰ୱ‌‍₹,110,KBDINORI.ldml,KBDINORI
Latvian (QWERTY),lv-LV," !""#$%&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\\m{~}\m{¨}\m{°}\m{´}]^_`abcdefghijklmnopqrstuvwxyz{|}~ §«­°±»Õ×õĀāČčĒēĢģĪīĶķĻļŅņŖŗŠšŪūŽž–—’€",137,KBDLV1.ldml,KBDLV1
German,de-DE," !""#$%&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\\m{^}\m{`}\m{´}]_abcdefghijklmnopqrstuvwxyz{|}~§°²³µÄÖÜßäöüẞ€",110,KBDGR.ldml,KBDGR
Syriac,syr-SY, !()+-.0123456789:=[]«»̣̤̥̭̮̰̱̃̄̇̈̊،؛؟ءـًٌٍَُِّْٰٕٓٔ܀܁܂܃܄܅܆܇܈܉܊܋܌܍܏ܐܑܒܓܔܕܖܗܘܙܚܛܜܝܞܟܠܡܢܣܤܥܦܧܨܩܪܫܬܱܴܷܸܹܻܼܾ݂݄݆݈ܰܲܳܵܶܺܽܿ݀݁݃݅݇݉݊‌‍‎‏┌┐♰♱,131,KBDSYR1.ldml,KBDSYR1
Russian (Typewriter),ru-RU," !""%()+-./0123456789:;=?\_|ЁАБВГДЕЖЗИЙКЛМНОПРСТУФХЦЧШЩЪЫЬЭЮЯабвгдежзийклмнопрстуфхцчшщъыьэюяё₽№",96,KBDRU1.ldml,KBDRU1
Lithuanian,lt-LT," !""#$%&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\]^_`abcdefghijklmnopqrstuvwxyz{|}~ĄąČčĖėĘęĮįŠšŪūŲųŽž€",114,KBDLT1.ldml,KBDLT1
Greek (220) Latin,el-GR," !""#$%&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\\m{¨}\m{΄}\m{΅}]_abcdefghijklmnopqrstuvwxyz{|}£¤¦§«¬°±²³¶»½€",109,KBDHELA2.ldml,KBDHELA2
Bulgarian (Typewriter),bg-BG," !""%()+-./0123456789:;=?V\_`|~§ІАБВГДЕЖЗИЙКЛМНОПРСТУФХЦЧШЩЪЬЭЮЯабвгдежзийклмнопрстуфхцчшщъыьэюя№",97,KBDBU.ldml,KBDBU
Inuktitut - Nattilik,iu-Cans-CA," !""#$%&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\\m{]}]^_`abcdefghijklmnopqrstuvwxyz{|}~ŁłŊŋŘřŠšᐃᐄᐅᐆᐊᐋᐱᐲᐳᐴᐸᐹᑉᑎᑏᑐᑑᑕᑖᑦᑭᑮᑯᑰᑲᑳᒃᒋᒌᒍᒎᒐᒑᒡᒥᒦᒧᒨᒪᒫᒻᓂᓃᓄᓅᓇᓈᓐᓕᓖᓗᓘᓚᓛᓪᓯᓰᓱᓲᓴᓵᔅᔨᔩᔪᔫᔭᔮᔾᕆᕇᕈᕉᕋᕌᕐᕕᕖᕗᕘᕙᕚᕝᕠᕢᕤᕥᕦᕧᕼᕿᖀᖁᖂᖃᖄᖅᖏᖐᖑᖒᖓᖔᖕᖠᖡᖢᖣᖤᖥᖦᖨᖩᖪᖫᖬᖭᖮᙱᙲᙳᙴᙵᙶ‘’“”•−𑪰𑪱𑪲𑪴𑪵𑪶𑪷𑪸𑪹𑪺𑪻",245,KBDINUK3.ldml,KBDINUK3
Central Kurdish,ku-Arab-IQ," !""#$&'()*+-./:<=>@[\]^_`{|}~،؛؟ءآأؤإئابةتثجحخدذرزسشصضطظعغـفقكلمنهوووىي٠١٢٣٤٥٦٧٨٩٪پچڕژڤکگڵۆیێە‌‍‎‏",97,KBDKURD.ldml,KBDKURD
Javanese,jv-Java, !#$%&()*+-/0123456789=?@[\\u{A9BA}ꦴ\u{A9C0}ꦭ\u{A9C0}ꦮ]^_`|~​‌ꦀꦁꦂꦃꦄꦄ\u{A9B4}ꦄ\u{A9BC}ꦅꦆꦇꦈꦉꦊꦋꦌꦍꦎꦏꦐꦑꦒꦓꦔꦕꦖꦗꦘꦙꦚꦛꦜꦝꦞꦟꦠꦡꦢꦣꦤꦥꦦꦧꦨꦩꦪꦫꦬꦭꦮꦯꦰꦱꦲ꦳ꦴꦵꦶꦷꦸꦹꦺꦻꦼꦽꦾꦿ꧀꧁꧂꧃꧄꧅꧆꧇꧈꧉꧊꧋꧌꧍ꧏ꧐꧑꧒꧓꧔꧕꧖꧗꧘꧙꧞꧟,131,KBDJAV.ldml,KBDJAV
Arabic (101),ar-SA," !""#$%&()*+-./0123456789:<=>@[\]^_{|}~×÷،؛؟ءآأؤإئابةتثجحخدذرزسشصضطظعغـفقكللآلألإلامنهوىيًٌٍَُِّْ‌‍‎‏‘’",99,KBDA1.ldml,KBDA1
Georgian (Old Alphabets),ka-GE," !""#$%&'()*+-./0123456789:;=>?@[\]^_`{|}~§«°»ႠႡႢႣႤႥႦႧႨႩႪႫႬႭႮႯႰႱႲႳႴႵႶႷႸႹႺႻႼႽႾჀჁჄჳჶჸჹჺ჻ჼ—“„€№ⴀⴁⴂⴃⴄⴅⴆⴇⴈⴉⴊⴋⴌⴍⴎⴏⴐⴑⴒⴓⴔⴕⴖⴗⴘⴙⴚⴛⴜⴝⴞⴟⴠⴡⴢⴤⴥ",129,kbdgeooa.ldml,kbdgeooa
Mongolian Cyrillic,mn-MN," ""%+-.0123456789:=?\_|ЁАБВГДЕЖЗИЙКЛМНОПРСТУФХЦЧШЩЪЫЬЭЮЯабвгдежзийклмнопрстуфхцчшщъыьэюяёҮүӨө₮№",95,KBDMON.ldml,KBDMON
Mongolian (Mongolian Script),mn-Mong-CN, !%()+-.0123456789;=?|~᠁᠂᠃᠄᠊᠋᠌᠍᠎ᠠᠡᠢᠣᠤᠥᠦᠧᠨᠩᠪᠫᠬᠭᠮᠯᠰᠱᠲᠳᠴᠵᠶᠷᠸᠹᠺᠻᠼᠽᠾᠿᡀᡁᡂ‌‍— ⁈⁉〈〉《》〔〕,79,KBDMONMO.ldml,KBDMONMO
Persian,fa-IR," !""#$%&()*+-./0123456789:<=>@[\]^_{|}«»×÷،؛؟ءآأؤإئابةتثجحخدذرريالزسشصضطظعغـفقلمنهويًٌٍَُِّپچژکگۀہی‌‍‎‏",100,KBDFA.ldml,KBDFA
Hawaiian,haw-US," !""#$%&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\]^_`abcdefghijklmnopqrstuvwxyz{|}~ĀāĒēĪīŌōŪūʻ",106,KBDHAW.ldml,KBDHAW
German Extended (E1),de-DE," !""#$%&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\\m{^}\m{`}\m{¨}\m{¯}\m{´}\m{¸}\m{ʼ}\m{ˀ}\m{ˇ}\m{ˌ}\m{ˍ}\m{ˏ}\m{˗}\m{˘}\m{˙}\m{˚}\m{˛}\m{˜}\m{˝}\m{˟}]_abcdefghijklmnopqrstuvwxyz{|}~ ¡§«­°²³µ·»¿ÄÖ×Üßäöüẞ‑–—’ ′″‹›€−☺",146,KBDGRE1.ldml,KBDGRE1
Tai Le,tdd-Tale, *+-/=[]{}·၀၁၂၃၄၅၆၇၈၉ᥐᥑᥒᥓᥔᥕᥖᥗᥘᥙᥚᥛᥜᥝᥞᥟᥠᥡᥢᥣᥤᥥᥦᥧᥨᥩᥪᥫᥬᥭᥰᥱᥲᥳᥴ—‘’“”…、。《》！＃＄％＆（），：；？＠～,77,KBDTAILE.ldml,KBDTAILE
Romanian (Programmers),ro-RO," !""#$%&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\\m{^}\m{`}\m{~}\m{¨}\m{°}\m{´}\m{¸}\m{ˇ}\m{˘}\m{˙}\m{˛}\m{˝}]^_`abcdefghijklmnopqrstuvwxyz{|}~§©«±»ÂÎßâîĂăĐđŁłȘșȚț–”„€",131,KBDROPR.ldml,KBDROPR
Norwegian with Sami,se-NO," !""#$%&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\\m{^}\m{`}\m{~}\m{¨}\m{´}]_abcdefghijklmnopqrstuvwxyz{|}£¤§µÁÂÄÅÆÏÕÖØáâäåæïõöøČčĐđŊŋŠšŦŧŽžƷǤǥǦǧǨǩǮǯȞȟʒ€",144,KBDNO1.ldml,KBDNO1
Traditional Mongolian (MNS),mn-Mong-CN, !#$%()*+-/:<=>?@[]_{}~«»᠀᠁᠂᠃᠅᠊᠋᠌᠍᠎᠏᠐᠑᠒᠓᠔᠕᠖᠗᠘᠙ᠠᠡᠢᠣᠤᠥᠦᠧᠨᠩᠪᠫᠬᠭᠮᠯᠰᠱᠲᠳᠴᠵᠶᠷᠸᠹᠺᠻᠼᠽᠾᠿᡀᡁᡂ‌‍“ ₮,86,KBDMONS2.ldml,KBDMONS2
Marathi,mr-IN," !""#$%&'()*+-./0123456789:;<=>?@[\\u{94D}र]^_`{|}~ँंःअआइईउऊऋऍएऐऑओऔकक\u{94D}षखगघङचछजज\u{94D}ञझञटठडढणतत\u{94D}रथदधनपफबभमयरर\u{94D}ऱलळवशश\u{94D}रषसह़ऽािीुूृॅेैॉोौ्ॐय़।०१२३४५६७८९‌‍₹",131,KBDINMAR.ldml,KBDINMAR
